sandi,2016,2017,2018,2019,2020,2021,2022,2023,2024
777958121,0.0,0.0,1.0,1.35,0.0,0.0,0.0,1.0,0.0
777958166,0.0,0.0,3.95,2.95,4.25,1.25,1.25,1.25,2.05
777958174,0.0,0.0,3.82,0.51,1.11,0.0,0.0,0.0,0.0
777930041,0.0,0.0,0.0,3.45,2.8,5.0,0.0,0.0,0.0
777959205,0.0,0.0,4.5,4.0,3.6,1.0,0.0,0.0,0.0
777930030,0.0,0.0,0.0,1.3,2.0,0.0,0.0,1.0,0.0
777959154,0.0,0.0,4.7,1.75,1.85,0.0,0.0,0.0,0.0
777930035,0.0,0.0,0.0,0.0,3.15,5.0,0.0,0.0,0.0
777248185,0.0,0.0,4.5,4.5,3.6,2.68,0.0,0.0,0.0
777249429,0.0,0.0,1.0,4.0,2.65,5.0,0.0,0.0,0.0
777959544,0.0,0.0,4.8,3.7,3.7,5.0,0.0,0.0,0.0
777959434,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
777958141,0.0,0.0,3.5,3.4,3.1,2.45,2.45,2.09,1.85
777958117,0.0,0.0,0.6,3.5,1.8,0.0,0.0,4.0,0.0
777952522,0.0,0.0,3.62,1.0,1.0,1.03,0.0,2.0,0.0
777960626,0.0,0.0,3.29,1.7,1.7,1.1,2.0,2.0,0.0
777958164,0.0,0.0,3.0,3.0,3.0,3.0,4.62,3.67,0.0
777958154,0.0,0.0,3.0,3.0,2.0,3.0,3.33,2.05,0.0
777958115,0.0,0.0,2.82,3.01,0.72,1.13,0.0,2.0,0.0
777959223,0.0,0.0,4.25,4.25,3.8,0.0,0.0,0.0,0.0
777930026,0.0,0.0,0.0,1.0,2.2,1.0,0.0,2.0,0.0
777959240,0.0,0.0,4.25,4.2,3.85,1.0,0.0,0.0,0.0
777958138,0.0,0.0,0.0,2.9,0.0,2.56,0.0,2.0,0.0
777930015,0.0,0.0,0.0,1.85,1.0,1.0,0.0,2.0,0.0
777930036,0.0,0.0,0.0,4.2,2.8,5.0,0.0,0.0,0.0
777958168,0.0,0.0,3.4,3.0,3.0,3.0,3.59,3.59,0.0
777958149,0.0,0.0,2.0,2.0,2.0,2.15,1.42,2.3,0.0
777958145,0.0,0.0,2.9,2.9,3.15,0.0,1.0,2.0,2.4
777958146,0.0,0.0,4.0,3.8,2.8,3.15,0.0,0.0,0.0
777249151,0.0,0.0,4.4,4.45,5.0,0.0,0.0,0.0,0.0
777958165,0.0,0.0,2.9,2.25,3.5,1.5,1.5,1.5,1.0
777958132,0.0,0.0,3.73,1.0,1.0,0.0,0.0,2.0,0.0
777958156,0.0,0.0,3.95,1.7,1.7,0.0,0.0,0.0,0.0
777930034,0.0,0.0,0.0,4.3,3.85,3.02,0.0,0.0,0.0
777930049,0.0,0.0,0.0,0.0,2.65,2.65,2.45,1.85,1.85
777249235,0.0,0.0,4.3,4.3,3.8,1.0,0.0,0.0,0.0
777248329,0.0,0.0,3.4,3.95,2.8,1.58,0.0,0.0,0.0
777248911,0.0,0.0,0.0,3.6,0.0,1.23,0.0,1.0,0.0
777930053,0.0,0.0,0.0,0.0,3.7,0.0,3.0,0.0,0.0
777958131,0.0,0.0,0.0,3.0,1.5,1.09,0.0,2.0,0.0
777958122,0.0,0.0,2.18,1.0,1.0,0.0,0.0,2.0,0.0
777958116,0.0,0.0,0.0,2.25,2.25,0.0,0.0,1.0,0.0
777249409,0.0,0.0,3.0,2.0,2.0,2.0,3.06,3.06,0.0
777249517,0.0,0.0,0.0,0.0,2.15,2.23,1.25,3.0,0.0
777959090,0.0,0.0,3.65,2.75,2.45,0.0,0.0,1.0,0.0
